Name,Email,Aname,Aemail,Aphone No,Aage,Agender
Gauarv Sakariya,gaurav1@gmail.com,Virang Virani,virang3@gmail.com,9429800408,20,Male
Virang Virani,virang3@gmail.com,Keval Modi,keval9@gmail.com,7412589631,45,Male
Savan Vaghani,savan5@gmail.com,Keval Modi,keval9@gmail.com,7412589631,45,Male
Utsav Thakkar,utsav8@gmail.com,Khushi patel,khushi4@gmail.com,7825859674,23,Female
Keval Modi,keval9@gmail.com,Khushi patel,khushi4@gmail.com,7825859674,23,Female
Priyal Vadgama,priyal7@gmail.com,Yagnik Patel,yagnik11@gmail.com,5462178960,40,Male
Parimal Patel,parimal2@gmail.com,Yagnik Patel,yagnik11@gmail.com,5462178960,40,Male
Khushi patel,khushi4@gmail.com,Yagnik Patel,yagnik11@gmail.com,5462178960,40,Male
Gauarv Sakariya,gaurav1@gmail.com,Priyal Vadgama,priyal7@gmail.com,7412369850,32,Male
Savan Vaghani,savan5@gmail.com,Priyal Vadgama,priyal7@gmail.com,7412369850,32,Male
Gauarv Sakariya,gaurav1@gmail.com,Khushi patel,khushi4@gmail.com,7825859674,23,Female
Sneha Desai,sneha10@gmail.com,Gauarv Sakariya,gaurav1@gmail.com,9664680390,20,Male
Parimal Patel,parimal2@gmail.com,Gauarv Sakariya,gaurav1@gmail.com,9664680390,20,Male
Gauarv Sakariya,gaurav1@gmail.com,Gauarv Sakariya,gaurav1@gmail.com,9664680390,20,Male
Savan Vaghani,savan5@gmail.com,Gauarv Sakariya,gaurav1@gmail.com,9664680390,20,Male
